index,age,elimination,first_name,hometown,name,name_abbreviation,occupation,season
0,24,Winner,Jennifer,"Pembroke Pines, Florida",Jennifer Wilson,Jennifer W.,Teacher,9
1,23,7,Sadie,"Carlsbad, California",Sadie Murray,Sadie M.,Publicist,9
2,25,6,Lisa,"Portland, Oregon",Lisa Blank,Lisa B.,Marketing manager,9
3,24,5,Agnese,"Venice, Italy",Agnese Polliza,Agnese P.,Student,9
4,23,4,Jeanette,"Bloomingdale, Illinois",Jeanette Pawula,Jeanette P.,Teacher,9
5,22,4,Desiree,"Salt Lake City, Utah",Desiree Valentin,Desiree V.,Realtor,9
6,27,3,Jami,"Galveston, Texas",Jami Matzke,Jami M.,Event planner,9
7,28,3,Gina,"Chicago, Illinois",Gina Clark,Gina C.,Ultrasound technician,9
8,23,3,Erica,"Houston, Texas",Erica Rose,Erica R.,Socialite,9
9,30,2,Sarah,"Nelson, British Columbia",Sarah Schnare,Sarah S.,Journalist,9
10,27,2,Kim,"Newport Beach, California",Kim Jackson,Kim J.,Interior designer,9
11,30,2,Ellen,"New Haven, Connecticut",Ellen DeMaio,Ellen D.,Realtor,9
12,24,1,Tara,"St. Augustine, Florida",Tara Durr,Tara D.,Realtor,9
13,27,1,Rosella,"Chicago, Illinois",Rosella Fratto,Rosella F.,Make-up artist,9
14,29,1,Rita,"Richmond, VA",Rita Ghazal,Rita G.,Policy advisor,9
15,30,1,Renee,"Baltimore, MD",Renee Snell,Renee S.,Broadcast marketer,9
16,27,1,Meri,"Biloxi, MS",Meri Barr,Meri B.,Attorney,9
17,29,1,Laura,"San Diego, CA",Laura Morgan,Laura M.,Dolphin trainer,9
18,25,1,Jessica,"Charlotte, NC",Jessica Horner,Jessica H.,Assistant buyer,9
19,34,1,Heather,"Aliquippa, PA",Heather Sneed,Heather S.,Registered nurse,9
20,27,1,Elyse,"New York, NY",Elyse Hammer,Elyse H.,Physician,9
21,,1,Cosetta,Italy,Cosetta Blanca,Cosetta B.,Dancer,9
22,22,1,Claudia,"Boca Raton, FL",Claudia Gismondi,Claudia G.,Restaurateur,9
23,25,1,Carissa,"Cattaraugus, NY",Carissa Ilburg,Carissa I.,Attorney,9
24,28,1,Brit,"Columbus, OH",Brit Keeder,Brit K.,Beer chemist,9
25,28,1,Andrea,"Cincinnati, OH",Andrea Shirley,Andrea S.,Hotel concierge,9
26,23,1,April,"Chicago, IL",April Jacobs,April J.,Model,9
0,26,Winner,Tessa,"San Francisco, California",Tessa Horst,Tessa H.,Social Worker,10
1,28,8,Bevin,"Palo Alto, California",Bevin Nicole Powers,Bevin P.,Assistant,10
2,25,7,Danielle,"Bethel, Connecticut",Danielle Imwalle,Danielle I.,Graphic Designer,10
