index,age,elimination,first_name,hometown,name,name_abbreviation,occupation,season
0,29,Winner,Ian,"New York, New York",Ian McKee,Ian M.,Equity Research Sales,2
1,28,8,Matthew,"Friendswood, Texas",Matthew Hickl,Matthew H.,Pharmaceutical Sales Rep,2
2,31,6,Chad,"Buffalo, New York",Chad,Chad,Pharmaceutical Sales Rep,2
3,26,5,Lanny,"Aubrey, Texas",Lanny,Lanny,Stallion and Breeding Manager,2
4,29,4,Brad,"Grand Rapids, Michigan",Brad,Brad,Pharmaceutical Sales Rep,2
5,30,4,Ryan,"Santa Barbara, California",Ryan M.,Ryan M.,Financial Advisor,2
6,31,4,Sean,"Wall, New Jersey",Sean,Sean,CPA,2
7,29,3,Rick,"San Diego, California",Rick,Rick,Business Manager,2
8,29,3,Ryan,"Wynola, California",Ryan R.,Ryan R.,Sales/Marketing,2
9,36,3,Todd,"San Francisco, California",Todd,Todd,Options Trader,2
10,28,2,Damon,"Cardiff, California",Damon,Damon,Arena Football Player,2
11,25,2,Eliot,"Mountain View, California",Eliot,Eliot,Options Trader,2
12,29,2,Harold,"Rock Island, Illinois",Harold Hersh,Harold H.,Professional Hockey Player,2
13,26,2,Marcus,"Los Angeles, California",Marcus,Marcus,Personal Trainer,2
14,32,2,Robert,"El Segundo, California",Robert,Robert,Alliance Development,2
15,32,1,Aaron,"Sacramento, California",Aaron,Aaron,Title and Escrow Sales,2
16,33,1,Andy,"Dallas, Texas",Andy Chang,Andy C.,Dentist,2
17,32,1,Anselm,"Venice, California",Anselm Clinard,Anselm C.,Art Designer,2
18,31,1,Brian,"Quincy, Massachusetts",Brian,Brian,Attorney,2
19,31,1,Chris,"Boston, Massachusetts",Chris,Chris,Accountant,2
20,24,1,Cory,"Long Beach Island, New Jersey",Cory Higgins,Cory H.,Small Business Owner,2
21,30,1,Jeff,"Macon, Georgia",Jeff O'Quinn,Jeff O.,Pharmaceutical Sales Rep,2
22,25,1,Justin,"Orlando, Florida",Justin,Justin,Professional Baseball Player,2
